date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
6/21/1995,,,,,,,,,,,,,,,,,,,,,,,,
6/22/1995,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
6/23/1995,-8,-8,-32,-2,-14,-26,,,,,,,0,0,0,0,0,0,-2,0,0,0,0,0
6/24/1995,0,2,0,0,0,0,,,,,,,0,0,4,0,0,280,34,98,0,120,348,128
6/25/1995,,,,,,,,,,,,,,,,,,,,,,,,
6/26/1995,-2,-34,-40,-38,-48,0,0,0,0,0,0,-10,-40,0,0,0,0,-4,0,4,4,0,0,0
6/27/1995,2,0,0,0,0,0,,,,,,,0,0,0,0,2,-2,0,0,0,0,0,0
6/28/1995,510,514,296,92,142,24,,,,,,,0,0,22,14,0,2,0,0,400,20,158,66
6/29/1995,654,532,536,466,236,246,,,,,,,0,0,0,4,62,-4,2,24,144,8,72,74
6/30/1995,156,406,816,78,50,58,,,,,,,4,6,6,4,0,20,4,18,10,0,32,8
7/1/1995,56,0,10,-10,-2,-2,,,,,,,-2,0,48,12,8,12,408,198,756,264,782,674
7/2/1995,,,,,,,,,,,,,,,,,,,,,,,,
7/3/1995,-22,0,-14,26,-16,-6,4,-6,-2,-8,-36,-16,0,-6,4,2,-24,-58,-76,-4,-4,-10,0,120
7/4/1995,-12,-124,-334,-70,-92,-70,,,,,,,-2,0,0,24,-16,18,18,46,16,598,300,178
7/5/1995,46,0,62,6,-2,-10,,,,,,,0,2,0,0,0,0,8,70,112,52,68,102
7/6/1995,274,112,84,210,164,238,,,,,,,0,4,0,318,110,300,10,214,30,0,410,380
7/7/1995,118,524,906,440,216,130,,,,,,,58,2,64,58,14,14,4,12,438,32,48,64
7/8/1995,184,68,18,6,12,8,,,,,,,18,84,132,82,6,468,160,30,-2,-14,132,6
7/9/1995,,,,,,,,,,,,,,,,,,,,,,,,
7/10/1995,266,58,98,36,10,4,0,0,0,0,2,0,4,0,0,2,2,14,0,56,164,50,0,32
7/11/1995,70,138,170,320,716,146,,,,,,,6,4,0,0,0,2,2,2,16,12,24,86
7/12/1995,128,126,188,164,12,2,,,,,,,2,2,106,20,8,234,50,0,4,316,154,746
7/13/1995,388,88,66,20,16,10,,,,,,,30,6,20,68,288,56,30,6,4,246,6,146
7/14/1995,328,360,160,102,26,12,,,,,,,0,4,2,10,38,2,14,78,74,14,62,614
7/15/1995,162,100,58,4,0,30,,,,,,,0,0,38,24,20,8,4,12,6,96,110,300
7/16/1995,,,,,,,,,,,,,,,,,,,,,,,,
7/17/1995,52,94,6,10,6,24,10,2,0,0,2,0,0,0,0,0,0,0,4,0,0,32,24,6
7/18/1995,8,4,2,2,0,14,,,,,,,0,0,-2,0,0,0,-8,8,70,8,4,4
7/19/1995,8,20,12,8,6,14,,,,,,,0,2,0,8,0,2,0,0,88,48,24,30
7/20/1995,48,34,40,24,38,42,,,,,,,-2,2,0,2,0,0,0,0,0,0,12,66
7/21/1995,52,88,56,44,18,24,,,,,,,10,2,2,-2,2,0,0,0,2,0,6,24
7/22/1995,32,26,44,44,12,2,,,,,,,2,8,8,0,18,16,6,22,34,6,4,2
7/23/1995,,,,,,,,,,,,,,,,,,,,,,,,
7/24/1995,10,16,56,8,16,10,4,2,0,0,0,0,0,0,6,8,0,4,0,2,0,2,-2,2
7/25/1995,26,10,24,32,40,26,,,,,,,0,0,0,0,0,0,2,2,2,2,0,26
7/26/1995,12,2,18,18,6,0,,,,,,,0,0,0,0,0,0,2,0,8,10,16,28
