date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2009,-3,0,0,-6,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
6/25/2009,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0
6/26/2009,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/27/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
6/28/2009,0,0,18,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0
6/29/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/30/2009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3
7/1/2009,0,0,0,3,9,33,-3,0,0,0,0,0,27,6,0,0,0,0,0,0,0,24,0,3
7/2/2009,6,9,120,3,0,0,-3,-3,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,21
7/3/2009,6,12,108,51,6,0,6,0,0,3,6,6,15,18,15,6,0,0,18,18,3,0,165,33
7/4/2009,111,63,0,12,0,6,30,3,6,3,0,3,0,-6,0,-3,-6,0,0,0,0,0,0,0
7/5/2009,3,0,0,-3,0,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,282,309,15,24,15
7/6/2009,15,0,0,0,0,0,0,0,0,0,0,0,0,3,21,6,12,3,9,9,3,0,15,36
7/7/2009,0,0,0,6,18,0,3,0,6,-3,0,0,84,0,45,63,312,258,72,63,12,3,36,15
7/8/2009,3,18,15,0,0,0,0,0,3,0,0,0,-6,-6,0,0,42,9,21,18,0,132,27,6
7/9/2009,0,24,0,-6,0,0,0,0,0,0,0,0,0,0,0,15,0,0,9,0,0,0,6,3
7/10/2009,129,54,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,24,69,12,60,18
7/11/2009,12,18,30,51,6,0,0,0,0,0,0,0,0,3,0,0,6,24,6,27,87,15,9,63
7/12/2009,33,300,216,42,9,9,0,0,0,0,0,0,0,0,3,24,15,9,0,18,9,42,39,204
7/13/2009,45,357,45,18,3,0,0,0,0,0,0,0,0,12,0,18,24,42,135,12,6,12,3,93
7/14/2009,21,0,6,0,0,0,3,0,0,0,3,0,3,-3,0,6,9,3,0,0,15,15,36,138
7/15/2009,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3
7/16/2009,6,36,72,6,0,6,9,12,0,0,3,0,3,0,0,0,0,0,18,3,48,21,0,36
7/17/2009,6,15,87,21,12,6,36,0,3,0,0,0,3,6,126,21,0,0,3,0,0,3,3,18
7/18/2009,6,6,3,0,0,0,3,0,6,0,0,3,0,0,0,6,12,0,6,0,135,78,96,51
7/19/2009,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,12,0
7/20/2009,0,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,12,3,0,0,0,6
7/21/2009,9,6,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,39,12,0,0
