date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
6/22/2000,,,,,,,,,,,,,0.00,0.00,0.00,-6.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
6/23/2000,16.00,2.00,10.00,14.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00
6/24/2000,92.00,74.00,24.00,10.00,2.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,22.00,196.00,4.00
6/25/2000,62.00,108.00,88.00,4.00,0.00,0.00,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,20.00,10.00,0.00,176.00,20.00,66.00
6/26/2000,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2000,106.00,2.00,0.00,0.00,0.00,-2.00,0.00,-4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,568.00
6/28/2000,180.00,240.00,2.00,14.00,2.00,0.00,,,,,,,6.00,8.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,244.00,868.00,516.00
6/29/2000,1182.00,1630.00,192.00,220.00,128.00,48.00,,,,,,,30.00,12.00,6.00,4.00,6.00,4.00,0.00,0.00,34.00,366.00,1442.00,1116.00
6/30/2000,1060.00,278.00,14.00,28.00,14.00,-2.00,,,,,,,2.00,8.00,2.00,4.00,2.00,2.00,0.00,0.00,6.00,8.00,60.00,254.00
7/1/2000,1138.00,524.00,1678.00,824.00,550.00,2250.00,,,,,,,6.00,-4.00,8.00,0.00,-38.00,12.00,0.00,2.00,34.00,4518.00,7900.00,9880.00
7/2/2000,3728.00,668.00,522.00,36.00,170.00,192.00,,,,,,,-1478.00,-976.00,-410.00,-198.00,468.00,1028.00,1228.00,116.00,774.00,806.00,2392.00,8820.00
7/3/2000,,,,,,,,,,,,,,,,,,,,,,,,
7/4/2000,2808.00,1254.00,-16.00,12.00,0.00,0.00,6.00,-4.00,0.00,2.00,-2.00,0.00,0.00,28.00,10.00,-20.00,-64.00,60.00,108.00,-136.00,306.00,916.00,3550.00,308.00
7/5/2000,12168.00,5360.00,12.00,10.00,26.00,10.00,,,,,,,0.00,0.00,0.00,0.00,14.00,4.00,42.00,300.00,388.00,606.00,1734.00,8620.00
7/6/2000,604.00,146.00,262.00,390.00,430.00,534.00,,,,,,,0.00,-2.00,0.00,4.00,0.00,44.00,40.00,176.00,570.00,1358.00,6080.00,11300.00
7/7/2000,12760.00,13160.00,11092.00,2406.00,1294.00,1916.00,,,,,,,56.00,2080.00,166.00,40.00,16.00,2.00,-358.00,1226.00,4708.00,8330.00,9178.00,4700.00
7/8/2000,13160.00,6160.00,38.00,10.00,248.00,1658.00,,,,,,,16.00,1246.00,4114.00,6352.00,7458.00,10240.00,1444.00,2708.00,5900.00,7216.00,13040.00,7440.00
7/9/2000,1204.00,640.00,18.00,78.00,-38.00,-60.00,,,,,,,-46.00,104.00,112.00,18.00,176.00,378.00,172.00,330.00,5200.00,1916.00,5786.00,3380.00
7/10/2000,,,,,,,,,,,,,,,,,,,,,,,,
7/11/2000,5304.00,4134.00,2540.00,496.00,220.00,904.00,4622.00,15420.00,84.00,0.00,-6.00,12.00,12.00,32.00,34.00,16.00,0.00,16.00,38.00,204.00,386.00,2272.00,8190.00,14246.00
7/12/2000,6280.00,10500.00,10076.00,6794.00,2086.00,6748.00,,,,,,,3330.00,322.00,1460.00,5390.00,630.00,728.00,348.00,30.00,1214.00,1338.00,2660.00,5552.00
7/13/2000,5520.00,3340.00,4940.00,2310.00,680.00,3796.00,,,,,,,84.00,2908.00,5516.00,-392.00,-332.00,0.00,2920.00,5040.00,610.00,322.00,2964.00,426.00
7/14/2000,-2.00,78.00,-24.00,-44.00,-58.00,-48.00,,,,,,,-1572.00,-902.00,-220.00,2572.00,1184.00,-408.00,470.00,-20.00,-294.00,50.00,-156.00,236.00
7/15/2000,-52.00,40.00,6.00,-6.00,16.00,132.00,,,,,,,,,,,,,,,,,,
7/16/2000,,,,,,,,,,,,,,,,,,,,,,,,
7/17/2000,,,,,,,,,,,,,,,,,,,,,,,,
7/18/2000,230.00,72.00,62.00,26.00,-52.00,124.00,268.00,174.00,16.00,-4.00,-6.00,-12.00,14.00,26.00,16.00,86.00,62.00,238.00,108.00,168.00,138.00,742.00,600.00,1604.00
7/19/2000,742.00,716.00,774.00,238.00,230.00,1074.00,,,,,,,4.00,4.00,30.00,12.00,38.00,98.00,134.00,200.00,420.00,798.00,1024.00,2764.00
7/20/2000,2046.00,556.00,146.00,42.00,96.00,112.00,,,,,,,-4.00,10.00,6.00,34.00,58.00,82.00,248.00,482.00,522.00,492.00,3288.00,8780.00
7/21/2000,1382.00,870.00,256.00,188.00,114.00,736.00,,,,,,,0.00,6.00,24.00,20.00,56.00,332.00,414.00,644.00,662.00,1288.00,770.00,902.00
7/22/2000,2288.00,3280.00,1368.00,162.00,186.00,754.00,,,,,,,-8.00,50.00,78.00,74.00,104.00,216.00,428.00,1646.00,3040.00,5180.00,6200.00,5100.00
7/23/2000,4524.00,-194.00,20.00,58.00,46.00,48.00,,,,,,,10.00,62.00,40.00,44.00,98.00,414.00,270.00,330.00,334.00,382.00,318.00,498.00
7/24/2000,,,,,,,,,,,,,,,,,,,,,,,,
7/25/2000,146.00,44.00,6.00,14.00,4.00,18.00,436.00,196.00,46.00,12.00,4.00,42.00,52.00,190.00,510.00,256.00,584.00,292.00,84.00,536.00,234.00,254.00,124.00,208.00
7/26/2000,1358.00,380.00,48.00,-6.00,28.00,108.00,,,,,,,8.00,6.00,12.00,28.00,140.00,468.00,306.00,58.00,82.00,96.00,470.00,172.00
7/27/2000,1170.00,470.00,2.00,0.00,2.00,168.00,,,,,,,12.00,-2.00,6.00,0.00,6.00,16.00,6.00,12.00,34.00,2.00,28.00,42.00
