date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
7/4/2018,2736,1716,5085,4755,2352,2340,102,72,33,-3,15,9,3,18,45,15,36,12,183,39,120,1479,1977,2532
7/5/2018,3978,7785,6630,1617,372,333,90,33,48,12,3,15,9,9,15,39,69,111,174,306,201,276,732,8454
7/6/2018,8400,1533,1014,426,684,1392,1395,315,5316,1128,63,141,309,408,330,510,3546,4359,5289,8337,5307,8955,6702,1074
7/7/2018,2820,7296,4092,3192,3906,1800,3729,2148,582,1533,1335,2154,5295,6588,5541,3168,8778,3384,12054,11979,8901,7491,11595,7182
7/8/2018,5292,2274,249,15,33,126,291,378,441,237,96,54,-12,60,216,996,3540,4857,5178,6975,6969,7188,4053,1074
7/9/2018,834,-201,-555,-450,-348,-402,-1080,-21,69,-1005,-1272,-810,-348,27,150,438,1314,1737,12066,3540,7893,3948,9807,1680
7/10/2018,846,333,-12,-156,-165,-51,90,-3,756,75,33,24,105,288,663,696,759,1437,1935,2211,6522,6222,6249,5862
7/11/2018,900,489,546,369,1410,2670,1743,699,1917,2148,1110,318,774,1032,1455,3513,5538,2775,4548,2391,4590,11103,13530,6657
7/12/2018,2553,2730,258,-381,69,990,8529,4359,852,87,-1164,-4467,-1665,-531,-96,6,12,39,60,78,975,11124,11421,12105
7/13/2018,9690,10785,12726,16740,4098,7764,3438,4920,1944,456,186,168,51,63,258,2610,8610,3342,11169,8628,8361,9825,10530,6444
7/14/2018,1470,2220,12276,2022,3009,3204,7275,6282,2586,3066,9216,480,153,75,177,153,369,1065,744,9150,6930,7602,8751,7446
7/15/2018,3507,765,117,48,24,57,1059,1260,1383,381,525,237,225,183,474,219,72,795,1551,8355,7068,6582,6951,3885
7/16/2018,4890,84,-1371,-1950,-1971,-2436,-3156,-4350,-4443,-72,-456,-585,-441,-4599,-828,-3699,-3291,-969,-15,1005,-297,378,273,4473
7/17/2018,15840,11310,7260,4275,33,213,132,870,7074,309,207,315,402,870,390,111,300,471,162,6207,10914,9927,11256,12849
7/18/2018,14475,2340,675,12,0,24,30,444,360,111,357,765,291,-180,-558,-381,-75,-192,-174,-585,-1032,-648,7011,9729
7/19/2018,12531,9315,-405,-42,-108,-780,-552,1710,1023,177,-18,231,303,519,318,765,1554,642,474,162,123,879,657,1572
7/20/2018,8784,8238,2010,285,51,129,3012,816,840,345,258,1020,1461,663,603,699,126,2367,9036,13137,9261,2607,6498,702
7/21/2018,16125,14340,10845,171,90,342,7428,6588,14400,4740,10785,981,525,1974,2841,4947,10869,14934,14646,8538,6780,534,225,1506
7/22/2018,348,39,9,0,0,15,399,474,252,90,66,69,153,792,969,3876,11430,4077,13704,12027,7164,7212,14370,12276
7/23/2018,8235,1797,33,15,21,495,8100,7785,23241,21360,17817,1674,1488,1872,15789,22143,9873,7494,6537,9501,15822,14541,11565,13095
7/24/2018,13140,7908,30,6,6,417,2706,3285,6312,816,411,402,429,1638,891,2706,7218,1761,1089,285,444,804,9087,13479
7/25/2018,5121,8400,579,9,9,450,5238,5400,1446,69,84,108,60,1353,2439,3336,2589,891,498,315,93,171,723,4536
7/26/2018,7839,492,27,45,18,1221,8565,8310,2592,171,18,0,45,13860,-1389,2166,8997,6195,336,255,255,3075,4245,270
7/27/2018,141,33,102,9,6,303,1794,4485,177,1482,1551,6975,363,57,69,147,225,273,276,54,744,4545,5751,1872
7/28/2018,5241,2700,294,63,9,1425,3918,1920,129,111,51,33,414,363,363,390,177,438,2208,2244,1854,1239,402,2799
7/29/2018,3270,2457,57,15,6,681,2388,1119,288,72,21,51,825,507,201,336,1092,2217,2058,402,3516,6816,228,1248
7/30/2018,1524,384,45,15,9,72,1101,1704,213,63,60,18,-69,2739,324,1986,768,2154,546,1317,162,786,555,150
7/31/2018,147,117,24,18,9,3,189,360,-15,3,-12,6,-42,-225,-45,-231,351,639,780,195,510,195,3213,717
8/1/2018,12,15,6,9,3,18,78,1182,6,18,-12,12,-57,-21,-96,-354,99,852,510,117,330,1332,753,12
8/2/2018,33,24,6,18,-6,6,54,765,306,-12,-9,-60,-12,-15,18,30,111,69,93,147,378,201,300,258
8/3/2018,171,15,24,12,3,24,105,120,36,-18,12,3,33,18,63,48,72,549,192,258,147,105,108,96
8/4/2018,54,27,15,0,12,0,39,15,9,3,6,-3,6,3,30,84,603,240,108,81,297,426,318,1365
8/5/2018,75,21,15,30,15,0,21,42,6,-9,15,-3,0,-24,42,180,171,195,180,177,627,567,1161,162
8/6/2018,141,87,81,84,39,15,210,255,216,69,33,-24,108,282,471,210,225,375,375,60,90,261,138,90
8/7/2018,66,27,0,24,3,3,30,51,-42,3,15,-9,30,15,39,21,78,180,99,240,219,228,147,264
8/8/2018,132,12,18,9,0,0,27,102,45,33,21,66,18,18,219,126,414,306,177,177,195,183,240,210
8/9/2018,189,48,21,6,6,3,9,132,138,-18,30,21,30,24,63,96,120,228,195,267,267,825,498,312
8/10/2018,177,9,18,6,9,9,75,192,42,15,9,-18,18,30,42,27,285,570,321,294,375,270,630,186
8/11/2018,225,48,36,15,9,12,138,204,135,84,15,36,255,600,126,90,354,255,342,213,141,135,231,231
8/12/2018,48,30,15,15,6,0,21,198,99,15,24,33,27,42,45,93,129,453,324,129,555,243,150,156
8/13/2018,54,12,9,27,3,3,57,480,159,51,12,30,18,57,114,108,147,180,321,108,261,222,72,48
8/14/2018,36,15,15,3,9,9,3,60,15,12,9,9,36,9,3,15,27,33,75,93,42,81,54,63
8/15/2018,12,0,0,0,3,0,3,12,6,15,12,0,6,6,27,24,54,45,75,72,84,117,93,45
8/16/2018,27,18,15,18,9,0,30,33,18,12,3,15,9,21,15,24,51,144,105,96,96,114,159,96
8/17/2018,9,18,9,24,0,6,33,15,24,27,18,21,33,12,9,9,36,78,75,15,78,15,48,57
8/18/2018,30,12,3,15,0,0,0,0,18,12,21,18,15,6,6,9,63,27,39,12,54,27,48,36
8/19/2018,21,12,3,9,3,9,15,24,24,9,12,6,15,18,-9,21,21,33,18,12,54,18,15,42
8/20/2018,36,9,3,0,6,9,0,15,27,3,0,0,9,6,27,15,36,15,6,12,57,33,21,6
8/21/2018,0,12,0,6,3,3,6,9,12,3,18,3,9,3,0,0,0,0,3,0,0,18,3,0
8/22/2018,12,12,9,12,9,6,15,24,3,0,0,0,0,0,0,6,18,0,3,0,6,9,0,6
8/23/2018,9,6,30,6,12,0,0,27,6,3,0,12,0,0,0,0,0,0,3,0,6,0,3,3
8/24/2018,27,15,12,9,9,0,12,27,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
8/25/2018,6,6,0,0,3,0,0,6,0,0,0,0,0,0,6,0,3,0,9,0,0,9,3,3
8/26/2018,0,3,3,0,0,0,0,0,9,3,0,0,6,3,0,0,0,3,6,0,0,0,6,9
8/27/2018,0,6,6,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,3,6,0,0,3,6
8/28/2018,6,0,0,12,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,6,9
8/29/2018,0,3,0,3,0,0,3,9,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
8/30/2018,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-3,3,0,0,3,0,0
8/31/2018,0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/1/2018,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,3,6
9/2/2018,6,12,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,6
9/3/2018,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
9/4/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/5/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/6/2018,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/7/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/8/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/9/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/10/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
9/11/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/12/2018,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/13/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/14/2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
9/15/2018,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/16/2018,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
