date,0000,0100,0200,0300,0400,0500,0600,0700,0800,0900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000,2100,2200,2300
6/15/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/16/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/17/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/18/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/19/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/20/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/21/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/22/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/23/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/24/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/25/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/26/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/27/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/28/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/29/2019,,,,,,,,,,,,,,,,,,,,,,,,
6/30/2019,,,,,,,,,,,,,,,,,,,,,,,,
7/1/2019,,,,,,,,,,,,,,,,,,,,,,,,
7/2/2019,,,,,,,,,,,,,,,,,,,,,,,,0
7/3/2019,6,0,0,0,9,0,0,9,-3,0,0,0,-3,0,0,9,0,,,,,,,
7/4/2019,,,,,,,3,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,3,0
7/5/2019,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,6,0
7/6/2019,0,9,3,0,6,6,0,3,0,0,0,0,0,0,0,0,0,30,6,24,123,36,198,456
7/7/2019,117,36,0,0,0,0,9,9,75,0,3,0,0,0,0,0,63,123,501,1746,264,1008,3963,3984
7/8/2019,42,210,9,18,108,27,18,21,48,9,15,0,12,15,33,21,60,72,642,435,144,1095,3249,1434
7/9/2019,273,4422,1155,147,831,702,153,171,93,0,15,51,87,105,99,915,921,4734,2727,561,192,4884,5121,4584
7/10/2019,4029,7770,711,375,39,426,183,441,543,309,669,213,414,522,360,378,2085,492,6189,5184,2562,1065,1866,2514
7/11/2019,771,864,759,93,87,807,351,87,909,2649,1221,207,132,243,564,8124,1377,2895,2871,540,2229,4386,3540,1338
7/12/2019,2760,2898,246,57,30,1107,1590,996,2406,588,69,45,21,42,180,882,3186,1749,3249,6804,8421,3486,1239,966
7/13/2019,495,318,258,60,387,1143,900,186,6,3,6,3,0,0,24,1161,5793,4284,8274,4290,5331,453,2142,240
7/14/2019,2826,363,60,21,75,1305,978,1482,528,21,1290,1167,75,15,0,3327,7479,6813,933,375,1269,993,3507,5082
7/15/2019,1062,564,465,78,867,3867,1755,507,123,15,6,12,24,21,246,774,2388,8382,2778,537,10926,4626,3297,10569
7/16/2019,3624,1113,42,57,12,420,465,156,141,9,12,0,0,27,6,30,201,1212,9648,8100,1539,480,462,270
7/17/2019,534,456,96,30,24,315,261,63,21,12,0,0,12,21,15,42,30,5445,8124,4365,1512,2553,6162,6633
7/18/2019,2955,303,54,15,9,15,441,108,0,-90,-150,-15,-9,0,-63,-15,-90,-801,-732,108,405,30,0,24
7/19/2019,585,-321,-522,-51,-84,-579,-33,-21,3,0,0,0,0,6,3,24,-90,-990,-357,-240,-150,3510,600,45
7/20/2019,-300,-522,-237,-57,-30,-126,9,3,-3,6,-225,12,0,0,9,12,39,-210,-990,-408,-240,594,132,210
7/21/2019,6,-195,-9,-3,0,3,12,27,6,0,0,21,21,9,39,24,27,51,39,51,99,7800,1350,240
7/22/2019,162,93,21,6,69,234,27,60,6,30,9,36,21,39,15,6,120,321,111,141,933,8034,2211,852
7/23/2019,2061,4422,1467,69,18,330,4695,1266,264,132,9,45,6,30,15,0,381,96,354,225,765,8736,5661,6150
7/24/2019,4689,7311,30,12,9,1518,1095,249,9600,7236,39,6,9,12,237,171,2289,3399,2433,360,1404,6834,9945,5670
7/25/2019,4101,123,12,12,9,30,273,129,393,39,18,0,-36,-39,-12,-12,27,213,315,-69,-321,-486,1116,2034
7/26/2019,180,-39,6,0,-426,-15,1479,51,18,3,3,0,0,12,6,138,123,192,54,195,249,495,330,225
7/27/2019,69,36,0,0,12,9,210,18,255,21,60,30,87,162,246,675,468,324,951,372,393,294,255,4584
7/28/2019,1170,102,111,3,30,18,807,51,276,99,159,93,156,108,186,366,321,1365,1650,1581,1506,2286,3621,4023
7/29/2019,735,108,6,12,24,66,168,150,132,150,90,114,174,201,285,639,861,1593,741,1434,1881,1818,2151,5193
7/30/2019,1272,561,42,9,18,24,69,213,648,276,159,135,159,318,510,1467,2154,3810,4281,2511,1266,1542,3549,3171
7/31/2019,900,114,24,30,24,66,855,810,399,33,27,3,228,282,216,462,984,774,1674,978,1980,2556,3387,1164
8/1/2019,585,696,144,24,30,102,906,504,363,102,108,123,135,132,198,468,501,1023,1977,2277,1509,585,1536,2145
8/2/2019,930,156,105,90,102,120,1260,5088,3552,1866,456,1122,150,15,45,30,1341,10350,8433,3150,,,,
8/3/2019,,,,,,,,,,,,,,,,,,,,,,,,
8/4/2019,,,,,,,,,,,,,,,,,,,,,,,,
8/5/2019,,,,,,,,,,,,,,,,,,,,,,,,
8/6/2019,,,,,,,,,,,,,,,,,,,,,,,,
8/7/2019,,,,,,,,,,,,,,,,,,,,,,,,
8/8/2019,,,,,,,,,,,,,,,,,,,,,,,,
8/9/2019,,,,,,,,,,,,,,,,,,,,,,,,
8/10/2019,,,,,,,,,,,,,,,,,,,,,,,,
8/11/2019,,,,,,,,,,,,,,,,,,,,,,,,
8/12/2019,18,12,15,9,18,9,30,120,54,33,84,18,39,30,9,24,12,24,75,126,78,63,42,9
