date,X0000,X0100,X0200,X0300,X0400,X0500,X0600,X0700,X0800,X0900,X1000,X1100,X1200,X1300,X1400,X1500,X1600,X1700,X1800,X1900,X2000,X2100,X2200,X2300
6/26/1985,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0
6/27/1985,0,0,0,1,0,0,,,,,,,0,0,0,0,0,0,0,0,2,0,0,0
6/28/1985,0,0,0,0,0,0,,,,,,,0,0,1,0,0,0,1,0,2,1,1,0
6/29/1985,0,0,16,5,2,2,,,,,,,1,0,0,0,0,0,,,0,0,1,0
6/30/1985,0,0,0,,,,,,,,,,0,0,0,0,0,6,0,0,-2,0,0,0
7/1/1985,0,0,0,0,0,0,-1,1,0,1,0,0,0,1,,0,0,0,0,0,0,0,0,0
7/2/1985,0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
7/3/1985,0,0,0,0,0,0,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
7/4/1985,-3,0,0,0,0,0,,,,,,,0,0,0,0,0,2,0,0,0,0,0,9
7/5/1985,8,7,11,21,1,1,,,,,,,0,0,3,0,0,0,0,0,0,1,-1,4
7/6/1985,3,2,15,4,16,9,,,,,,,0,10,0,5,9,7,0,13,-1,20,2,1
7/7/1985,2,73,113,20,6,4,,,,,,,2,4,-4,22,5,7,3,21,7,6,7,3
7/8/1985,10,-5,5,-2,-6,10,3,0,0,-9,0,-2,0,0,-3,0,-7,-6,-4,-3,-2,-1,11,2
7/9/1985,-43,-35,-10,-8,0,-3,,,,,,,-1,-2,0,0,0,0,-1,3,-1,2,1,0
7/10/1985,9,31,62,1,3,-3,,,,,,,5,0,0,0,0,0,0,1,0,1,3,14
7/11/1985,56,56,44,60,49,31,,,,,,,2,-1,2,-1,0,0,1,1,4,6,9,17
7/12/1985,119,74,85,54,60,32,,,,5,-2,8,13,1,4,1,0,19,0,8,9,5,12,52
7/13/1985,179,170,224,297,286,157,59,6,1,,,,13,1,-1,-1,-4,2,-1,4,9,43,70,80
7/14/1985,126,387,645,277,210,236,,,,,,,15,11,4,-3,-12,-2,333,245,111,298,294,374
7/15/1985,187,174,152,44,6,7,23,13,0,1,0,0,12,6,-14,0,0,0,0,0,1,46,111,193
7/16/1985,179,162,136,57,10,4,,,,,,,-3,2,6,0,34,27,170,327,56,138,282,215
7/17/1985,193,135,182,67,38,12,,,,,,,7,11,62,-6,226,62,-11,551,73,119,395,469
7/18/1985,187,170,57,33,27,7,,,,,,,-19,-1,-3,-6,12,18,26,25,24,66,95,74
7/19/1985,240,62,16,70,10,3,,,,,,,0,1,-2,4,11,0,2,4,93,31,37,331
7/20/1985,227,104,53,67,4,0,,,,,,,0,1,0,0,3,4,2,8,24,25,236,28
7/21/1985,189,167,76,50,24,6,,,,,,,0,7,0,3,3,-5,1,1,8,25,101,141
7/22/1985,204,101,37,-2,-1,1,3,2,0,0,1,-1,0,0,0,3,2,-2,1,0,0,7,1,53
7/23/1985,66,113,22,-1,0,-3,,,,,,,1,0,0,0,2,4,-1,1,6,5,23,-1
7/24/1985,75,46,27,-3,1,2,,,,,,,0,1,0,0,0,8,4,0,0,21,60,58
7/25/1985,6,87,14,8,20,15,,,,,,,6,5,0,0,-4,-1,1,3,18,14,59,26
7/26/1985,15,85,19,31,28,7,,,,,,,1,0,2,0,0,12,0,30,29,17,76,88
7/27/1985,24,73,77,13,2,6,,,,,,,1,0,29,34,46,19,0,0,12,105,53,226
7/28/1985,87,142,17,27,100,60,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
